school_id,state,geographic_school_district,children_5_17_saipe_estimate,poverty_saipe_estimate,single_parent_estimate,single_parent_margin_of_error,hhs_with_vulnerable_job_estimate,vulnerable_job_margin_of_error,crowded_conditions_estimate,hh_with_crowded_conditions_margin_of_error,no_computer_or_internet_estimate,no_computer_or_internet_margin_of_error,children_with_disability,children_with_disability_margin_of_error,linguistically_isolated_children,linguistically_isolated_children_margin_of_error
60,Alabama,Andalusia City School District,1425,0.3119392693042755,0.5790795087814331,50%-66%,0.2713839113712311,21%-33%,0.0204906202852726,0%-4%,0.09485771507024765,4%-15%,0.15157894790172577,8%-23%,0,0%-2%
90,Alabama,Anniston City School District,3008,0.38064515590667725,0.53800368309021,46%-61%,0.257531076669693,22%-30%,0.012098501436412334,0%-2%,0.2699359357357025,20%-34%,0.09474734216928482,6%-13%,0,0%-1%
100,Alabama,Arab City School District,1454,0.17518247663974762,0.32910388708114624,29%-37%,0.28344330191612244,26%-31%,0.005959849338978529,0%-1%,0.09138655662536621,6%-12%,0.05639614909887314,4%-7%,0.013067400082945824,0%-3%
120,Alabama,Athens City School District,3824,0.17829261720180511,0.33690476417541504,25%-42%,0.3321545124053955,29%-37%,0.016048580408096313,1%-2%,0.14985251426696777,9%-21%,0.0928347259759903,4%-15%,0.04785564914345741,1%-8%
180,Alabama,Attalla City School District,1144,0.26067906618118286,0.4591633379459381,22%-70%,0.3102564215660095,21%-41%,0.037167251110076904,0%-8%,0.12264808267354965,2%-22%,0.1660839170217514,6%-27%,0,0%-3%
185,Alabama,Saraland City School District,2728,0.201797753572464,0.32961782813072205,23%-43%,0.2550281584262848,21%-30%,0.02151198498904705,1%-4%,0.07885906100273132,3%-12%,0.03958944231271744,1%-7%,0,0%-1%
188,Alabama,Chickasaw City School District,1350,0.41289022564888,0.6365232467651367,53%-74%,0.3382144570350647,28%-39%,0.03904343396425247,2%-6%,0.299539178609848,19%-41%,0.03925925865769386,1%-6%,0,0%-3%
189,Alabama,Satsuma City School District,922,0.21624265611171722,0.22084367275238037,9%-35%,0.19352290034294128,13%-26%,0,0%-2%,0.12757830321788788,2%-24%,0.04663774371147156,0%-9%,0,0%-4%
190,Alabama,Alabaster City School District,6469,0.11596363037824631,0.21697638928890228,16%-28%,0.3060419261455536,28%-34%,0.017725126817822456,1%-3%,0.05473269894719124,2%-9%,0.05982377380132675,3%-9%,0.03478126600384712,1%-6%
194,Alabama,Pelham City School District,4044,0.08137563616037369,0.2700054347515106,19%-35%,0.30181071162223816,27%-34%,0.012664004229009151,0%-2%,0.10544979572296143,5%-16%,0.040059346705675125,2%-6%,0.05019782483577728,0%-10%
195,Alabama,Pike Road City School District,1813,0.06903164088726044,0.18050314486026764,8%-29%,0.19800953567028046,16%-24%,0.0009313877671957016,0%-1%,0.036039769649505615,0%-7%,0.040816325694322586,1%-8%,0.0154440151527524,0%-4%
210,Alabama,Auburn City School District,8277,0.11712439358234406,0.2841731607913971,22%-35%,0.2859281301498413,26%-31%,0.031509846448898315,2%-4%,0.06876740604639053,4%-10%,0.0467560701072216,3%-7%,0.042165037244558334,2%-7%
240,Alabama,Autauga County School District,10106,0.1929788738489151,0.26168954372406006,21%-31%,0.26019731163978577,24%-28%,0.014160549268126488,1%-2%,0.08542149513959885,6%-11%,0.11923609673976898,9%-15%,0.0003958044690079987,0%-1%
270,Alabama,Baldwin County School District,33982,0.12897169589996338,0.2678494155406952,24%-30%,0.3178980350494385,30%-33%,0.012604614719748497,1%-2%,0.09761074185371399,8%-12%,0.045376963913440704,3%-6%,0.009534459561109543,0%-2%
300,Alabama,Barbour County School District,1698,0.38240575790405273,0.455089807510376,36%-55%,0.21099066734313965,17%-25%,0.06339181214570999,3%-10%,0.5216306447982788,37%-67%,0.14605417847633362,8%-21%,0.047703180462121964,0%-10%
330,Alabama,Bessemer City School District,4276,0.31248682737350464,0.6950294971466064,62%-77%,0.3459349572658539,31%-39%,0.018119068816304207,1%-3%,0.1958625316619873,13%-26%,0.12581852078437805,8%-17%,0.011693171225488186,0%-3%
360,Alabama,Bibb County School District,3346,0.25439128279685974,0.32525113224983215,23%-43%,0.22743548452854156,18%-27%,0.007602339144796133,0%-2%,0.17182427644729614,9%-26%,0.05349671095609665,2%-9%,0,0%-1%
390,Alabama,Birmingham City School District,29129,0.3504951000213623,0.6814253926277161,65%-71%,0.30610257387161255,29%-32%,0.014330217614769936,1%-2%,0.22469210624694824,20%-25%,0.08373098820447922,7%-10%,0.022280201315879822,1%-3%
420,Alabama,Blount County School District,8897,0.1521470993757248,0.298534095287323,24%-36%,0.2638852000236511,24%-29%,0.015712251886725426,1%-2%,0.1826784908771515,13%-23%,0.032595258206129074,2%-4%,0.025626616552472115,1%-4%
450,Alabama,Brewton City School District,806,0.3497706353664398,0.47727271914482117,33%-63%,0.26670119166374207,19%-34%,0.00555812893435359,0%-2%,0.29290205240249634,15%-44%,0.06451612710952759,2%-11%,0,0%-4%
480,Alabama,Bullock County School District,1554,0.6538711786270142,0.7017804384231567,63%-77%,0.19720812141895294,15%-25%,0,0%-1%,0.4009302258491516,25%-55%,0.08043757826089859,3%-13%,0,0%-2%
510,Alabama,Butler County School District,3361,0.34703895449638367,0.4748939275741577,40%-55%,0.27977171540260315,24%-32%,0.01774001121520996,1%-3%,0.3324573040008545,27%-40%,0.049985121935606,3%-7%,0,0%-1%
540,Alabama,Calhoun County School District,9446,0.18748658895492554,0.31073233485221863,26%-36%,0.26475265622138977,24%-29%,0.02043095789849758,1%-3%,0.13825145363807678,10%-18%,0.09866610169410706,7%-13%,0,0%-1%
600,Alabama,Chambers County School District,4227,0.2670702040195465,0.49251624941825867,42%-57%,0.22757530212402344,20%-26%,0.023427411913871765,1%-3%,0.21414980292320251,16%-27%,0.03028152324259281,1%-5%,0,0%-1%
630,Alabama,Cherokee County School District,4082,0.2193446159362793,0.25925925374031067,19%-33%,0.1875573694705963,16%-21%,0.014614368788897991,1%-2%,0.14585697650909424,10%-19%,0.0798628106713295,4%-12%,0,0%-1%
660,Alabama,Chilton County School District,7880,0.22290942072868347,0.36516690254211426,30%-44%,0.27485713362693787,25%-30%,0.027043161913752556,2%-4%,0.25821906328201294,20%-32%,0.0652284249663353,3%-10%,0.008121827617287636,0%-2%
690,Alabama,Choctaw County School District,1979,0.2882787883281708,0.4988385736942291,42%-58%,0.2303001880645752,19%-27%,0.013644860126078129,0%-2%,0.2668931782245636,18%-35%,0.09954522550106049,5%-15%,0,0%-2%
720,Alabama,Clarke County School District,3174,0.32525596022605896,0.379700630903244,30%-46%,0.21937072277069092,19%-25%,0.021817676723003387,1%-3%,0.3862198293209076,29%-48%,0.053560175001621246,3%-8%,0,0%-1%
750,Alabama,Clay County School District,2149,0.24637681245803833,0.22776348888874054,16%-30%,0.20624323189258575,17%-24%,0.009167303331196308,0%-2%,0.1997162103652954,12%-28%,0.06561191380023956,1%-12%,0,0%-2%
780,Alabama,Cleburne County School District,2593,0.2245728224515915,0.26815101504325867,19%-35%,0.24881082773208618,21%-29%,0.008775071240961552,0%-2%,0.28939661383628845,21%-37%,0.06363286077976227,4%-9%,0.015426147729158401,0%-4%
810,Alabama,Coffee County School District,3280,0.20270270109176636,0.26080986857414246,21%-31%,0.23248054087162018,21%-25%,0.017203714698553085,1%-2%,0.13519923388957977,10%-17%,0.08231707662343979,6%-10%,0.010365854017436504,0%-3%
840,Alabama,Colbert County School District,3320,0.19597847759723663,0.3243243098258972,26%-39%,0.24636094272136688,22%-28%,0.008494208566844463,0%-2%,0.29334211349487305,21%-37%,0.06144578382372856,4%-9%,0,0%-1%
870,Alabama,Conecuh County School District,1936,0.3835616409778595,0.5065978169441223,40%-62%,0.2905960977077484,23%-35%,0.010931351222097874,0%-2%,0.3719351291656494,26%-49%,0.061466943472623825,2%-11%,0,0%-2%
900,Alabama,Coosa County School District,1508,0.2986811399459839,0.4282258152961731,37%-49%,0.24841849505901337,19%-30%,0.009017791599035263,0%-2%,0.29513514041900635,19%-40%,0.10411140322685242,0%-20%,0,0%-3%
930,Alabama,Covington County School District,3524,0.2609342336654663,0.2619819939136505,20%-32%,0.23320376873016357,20%-26%,0.02133212238550186,1%-3%,0.15226688981056213,11%-19%,0.0956299677491188,6%-13%,0.001135073835030198,0%-1%
960,Alabama,Crenshaw County School District,2329,0.2883149981498718,0.3737986981868744,30%-45%,0.228439062833786,20%-26%,0.009353233501315117,0%-2%,0.23202824592590332,17%-29%,0.057106055319309235,3%-8%,0,0%-2%
990,Alabama,Cullman City School District,2415,0.20511727035045624,0.28276166319847107,18%-39%,0.32157546281814575,27%-38%,0.02387402579188347,0%-4%,0.1571175456047058,7%-25%,0.08115942031145096,4%-12%,0,0%-2%
1020,Alabama,Cullman County School District,11151,0.1904677152633667,0.2770143747329712,23%-33%,0.2762640118598938,25%-30%,0.016677409410476685,1%-2%,0.15891548991203308,13%-19%,0.03909963369369507,3%-5%,0.014796879142522812,0%-3%
1050,Alabama,Dale County School District,2604,0.23876166343688965,0.3493659794330597,29%-41%,0.3254956305027008,29%-36%,0.010816126130521297,0%-2%,0.18564218282699585,14%-23%,0.10483870655298233,7%-14%,0.0026881720405071974,0%-2%
1080,Alabama,Daleville City School District,1839,0.2414187639951706,0.38976627588272095,25%-53%,0.3300230801105499,27%-39%,0.03688909858465195,1%-6%,0.16524909436702728,9%-24%,0.10603588819503784,5%-17%,0.057096246629953384,1%-11%
1110,Alabama,Dallas County School District,3825,0.3704545497894287,0.6055705547332764,53%-68%,0.2024688422679901,17%-24%,0.02611241303384304,1%-4%,0.1988624781370163,14%-26%,0.04549019783735275,2%-7%,0,0%-1%
1140,Alabama,DeKalb County School District,10627,0.2836450934410095,0.33178994059562683,28%-38%,0.2496301382780075,23%-27%,0.022153258323669434,1%-3%,0.24235698580741882,19%-29%,0.03547567501664162,2%-5%,0.050719864666461945,2%-8%
1170,Alabama,Decatur City School District,9126,0.22591868042945862,0.43436723947525024,38%-49%,0.2695131003856659,25%-29%,0.03405642881989479,2%-4%,0.27201083302497864,22%-32%,0.07549857348203659,6%-9%,0.06958141922950745,4%-10%
1200,Alabama,Demopolis City School District,1201,0.328970342874527,0.6627335548400879,45%-87%,0.29290062189102173,20%-38%,0.010619468986988068,0%-3%,0.28951939940452576,14%-44%,0,0%-2%,0,0%-3%
1230,Alabama,Dothan City School District,11517,0.22633817791938782,0.4646546542644501,44%-49%,0.3439752161502838,33%-36%,0.00892273336648941,1%-1%,0.190974622964859,17%-21%,0.04845011606812477,4%-6%,0.0024311887100338936,0%-1%
1260,Alabama,Elba City School District,665,0.24117647111415863,0.4678714871406555,29%-64%,0.30060672760009766,23%-37%,0.020091848447918892,0%-5%,0.21721310913562775,7%-36%,0.1849624067544937,9%-28%,0.04962405934929848,0%-12%
1290,Alabama,Elmore County School District,11991,0.15439856052398682,0.3152194321155548,26%-37%,0.2736477851867676,25%-30%,0.012500947341322899,1%-2%,0.07262977957725525,5%-9%,0.053039778023958206,4%-7%,0.006171294953674078,0%-1%
1320,Alabama,Enterprise City School District,5100,0.1866965889930725,0.44730252027511597,35%-55%,0.26429224014282227,23%-30%,0.010214410722255707,0%-2%,0.12768664956092834,8%-17%,0.06823529303073883,4%-10%,0.0117647061124444,0%-3%
1350,Alabama,Escambia County School District,5400,0.30271318554878235,0.3873370587825775,30%-47%,0.27070528268814087,24%-30%,0.0227171890437603,1%-3%,0.34372833371162415,26%-42%,0.04740740731358528,2%-7%,0.002222222276031971,0%-1%
1380,Alabama,Etowah County School District,9994,0.18341109156608582,0.26614460349082947,21%-32%,0.2877354919910431,26%-31%,0.008128644898533821,0%-1%,0.13802476227283478,10%-18%,0.054132480174303055,4%-7%,0.0021012607030570507,0%-1%
1410,Alabama,Eufaula City School District,2348,0.34510505199432373,0.6581730842590332,55%-76%,0.2587839365005493,22%-30%,0.008552229963243008,0%-2%,0.15864115953445435,10%-22%,0.08858603239059448,6%-12%,0.006388415582478046,0%-2%
1440,Alabama,Fairfield City School District,1489,0.2907536029815674,0.8112582564353943,65%-97%,0.3011547327041626,25%-36%,0.03663003817200661,1%-6%,0.20969976484775543,9%-33%,0.07924781739711761,2%-14%,0,0%-3%
1470,Alabama,Fayette County School District,2425,0.3759590685367584,0.3178519606590271,24%-40%,0.24495244026184082,21%-28%,0.012345679104328156,0%-2%,0.13899026811122894,9%-19%,0.0993814468383789,6%-14%,0,0%-2%
1530,Alabama,Florence City School District,5312,0.20883218944072723,0.4690885841846466,39%-55%,0.38384127616882324,35%-42%,0.011325934901833534,1%-2%,0.23468439280986786,18%-29%,0.05647590383887291,3%-8%,0.029555723071098328,1%-5%
1560,Alabama,Fort Payne City School District,2597,0.3230403661727905,0.3800290822982788,29%-47%,0.26277631521224976,21%-31%,0.054173897951841354,3%-8%,0.2041631042957306,9%-31%,0.06892568618059158,3%-11%,0,0%-1%
1590,Alabama,Franklin County School District,3637,0.2596656084060669,0.270342081785202,19%-35%,0.2499123364686966,21%-29%,0.014751456677913666,1%-2%,0.23363584280014038,16%-30%,0.04674182087182999,3%-7%,0.005224085878580809,0%-2%
1620,Alabama,Gadsden City School District,5142,0.35234710574150085,0.5171760320663452,46%-57%,0.3102155029773712,27%-35%,0.014511777088046074,1%-2%,0.2297983318567276,18%-28%,0.09198755025863647,7%-12%,0.031116297468543053,0%-6%
1640,Alabama,Geneva City School District,1167,0.3181357681751251,0.6920115351676941,55%-84%,0.2219710648059845,16%-29%,0.005335365887731314,0%-2%,0.20353981852531433,7%-34%,0.19537274539470673,10%-29%,0.022279348224401474,0%-5%
1660,Alabama,Geneva County School District,3244,0.24858589470386505,0.38285505771636963,30%-46%,0.2745373249053955,24%-31%,0.02393379993736744,1%-3%,0.20765899121761322,16%-26%,0.05425400659441948,3%-7%,0,0%-1%
1680,Alabama,Greene County School District,1372,0.4229629635810852,0.7936072945594788,70%-88%,0.15063521265983582,10%-20%,0.03113367222249508,1%-5%,0.34210526943206787,19%-49%,0.053206998854875565,2%-9%,0,0%-2%
1690,Alabama,Guntersville City School District,1247,0.23175320029258728,0.41491395235061646,33%-50%,0.24984325468540192,22%-28%,0.008854961954057217,0%-2%,0.09031908959150314,5%-13%,0.024859663099050522,1%-4%,0.05773857235908508,1%-11%
1710,Alabama,Hale County School District,2510,0.33706003427505493,0.6300548911094666,52%-74%,0.25024592876434326,21%-30%,0.03216684237122536,2%-5%,0.32950302958488464,23%-43%,0.05936254933476448,3%-9%,0,0%-2%
1720,Alabama,Haleyville City School District,1451,0.2831513285636902,0.3268219530582428,18%-47%,0.2850467264652252,23%-34%,0.005345911718904972,0%-2%,0.2081678956747055,10%-31%,0.12611991167068481,7%-19%,0.08339076489210129,3%-14%
1730,Alabama,Hartselle City School District,2346,0.1218925416469574,0.2380056381225586,17%-31%,0.2917519807815552,24%-34%,0.004898266866803169,0%-1%,0.07652752846479416,2%-13%,0.06138107553124428,3%-9%,0.03537936881184578,0%-7%
1740,Alabama,Henry County School District,2639,0.2393617033958435,0.24858756363391876,18%-32%,0.30882352590560913,27%-35%,0.007797271013259888,0%-1%,0.14809630811214447,8%-22%,0.04433497413992882,2%-7%,0.004168245475739241,0%-2%
1760,Alabama,Homewood City School District,4298,0.07759303599596024,0.2191295474767685,16%-28%,0.26140299439430237,23%-29%,0.007966922596096992,0%-2%,0.038448791950941086,2%-6%,0.035132620483636856,2%-5%,0.0602605864405632,2%-10%
1770,Alabama,Houston County School District,6581,0.18639761209487915,0.3509886860847473,31%-39%,0.3174533545970917,29%-34%,0.018721092492341995,1%-2%,0.27432796359062195,24%-31%,0.05196778476238251,4%-6%,0.008205439895391464,0%-2%
1800,Alabama,Huntsville City School District,28450,0.20385634899139404,0.39898237586021423,37%-43%,0.2667233347892761,25%-28%,0.01397571712732315,1%-2%,0.1289769560098648,11%-15%,0.05718804895877838,5%-7%,0.031001757830381393,2%-4%
1830,Alabama,Jackson County School District,6153,0.22641828656196594,0.3616187870502472,30%-42%,0.23023107647895813,20%-26%,0.020667944103479385,1%-3%,0.19723986089229584,14%-25%,0.03998049721121788,2%-6%,0.0009751340840011835,0%-1%
1860,Alabama,Jacksonville City School District,1379,0.2319391667842865,0.5479797720909119,50%-60%,0.387660950422287,33%-44%,0.003483562031760812,0%-1%,0.056698672473430634,2%-9%,0.10079768300056458,4%-16%,0,0%-3%
1890,Alabama,Jasper City School District,2317,0.24366937577724457,0.37342068552970886,27%-47%,0.308137446641922,26%-36%,0.01666978746652603,0%-3%,0.1984848529100418,11%-29%,0.10401380807161331,5%-16%,0.039274923503398895,1%-7%
1920,Alabama,Jefferson County School District,39115,0.17466206848621368,0.40283718705177307,38%-43%,0.2802177965641022,27%-29%,0.014053021557629108,1%-2%,0.1620883196592331,14%-18%,0.06861817836761475,6%-8%,0.011657931841909885,1%-2%
1950,Alabama,Lamar County School District,2366,0.22678087651729584,0.2564484179019928,18%-33%,0.2060696929693222,17%-24%,0.01673920266330242,0%-3%,0.22349102795124054,13%-32%,0.1314454823732376,7%-19%,0,0%-2%
1980,Alabama,Lanett City School District,829,0.4319399893283844,0.5997045636177063,41%-79%,0.24674855172634125,19%-31%,0.05609573796391487,2%-10%,0.06857142597436905,1%-12%,0.010856453329324722,0%-4%,0,0%-4%
2010,Alabama,Lauderdale County School District,8444,0.12579445540905,0.27864688634872437,23%-33%,0.2744063436985016,25%-30%,0.01317040715366602,1%-2%,0.2146051973104477,17%-26%,0.05495025962591171,4%-7%,0,0%-1%
2040,Alabama,Lawrence County School District,5377,0.3268614411354065,0.31458020210266113,25%-38%,0.2226288914680481,20%-25%,0.01522129401564598,1%-2%,0.27074116468429565,21%-33%,0.06304630637168884,4%-9%,0,0%-1%
2070,Alabama,Lee County School District,10736,0.2062065452337265,0.3748437762260437,30%-45%,0.2564299404621124,23%-28%,0.022954266518354416,1%-3%,0.1428280472755432,11%-17%,0.0509500727057457,4%-7%,0.003260059515014291,0%-1%
2100,Alabama,Limestone County School District,10372,0.16006962954998016,0.2958817183971405,24%-36%,0.23541617393493652,21%-26%,0.020505273714661598,1%-3%,0.1701570749282837,13%-21%,0.0547628216445446,4%-7%,0.005977632012218237,0%-1%
2130,Alabama,Linden City School District,566,0.47350993752479553,0.3860759437084198,14%-63%,0.2175324708223343,15%-29%,0.006432748399674892,0%-2%,0.41576507687568665,15%-68%,0.38339221477508545,16%-60%,0,0%-4%
2160,Alabama,Lowndes County School District,1696,0.3982947766780853,0.728654146194458,63%-83%,0.2655481696128845,22%-31%,0.01698564551770687,0%-3%,0.30343347787857056,22%-39%,0.10200471431016922,6%-15%,0,0%-2%
2190,Alabama,Macon County School District,2448,0.37649139761924744,0.6319960355758667,55%-72%,0.26944711804389954,24%-30%,0.012963205575942993,1%-2%,0.40564635396003723,31%-50%,0.03594771400094032,2%-5%,0.014297385700047016,0%-3%
2220,Alabama,Madison County School District,22296,0.10764622688293457,0.20190609991550446,17%-23%,0.2323547750711441,22%-25%,0.01087941974401474,1%-1%,0.0814715176820755,6%-10%,0.06978829950094223,5%-8%,0.0078040906228125095,0%-2%
2250,Alabama,Marengo County School District,1732,0.2630814015865326,0.3686666786670685,24%-50%,0.24110257625579834,17%-31%,0.00494896387681365,0%-2%,0.2511938810348511,16%-34%,0.08660507947206497,3%-14%,0,0%-2%
2310,Alabama,Marion County School District,3731,0.2634423077106476,0.22071361541748047,16%-28%,0.22089041769504547,19%-25%,0.023677287623286247,1%-3%,0.20206546783447266,15%-25%,0.09702492505311966,5%-14%,0,0%-1%
2350,Alabama,Midfield City School District,894,0.29465094208717346,0.5933908224105835,41%-77%,0.26144880056381226,20%-32%,0.03164239227771759,0%-7%,0.17800559103488922,8%-27%,0.055928412824869156,0%-12%,0,0%-4%
2370,Alabama,Mobile County School District,66267,0.3009887933731079,0.45241257548332214,43%-48%,0.30250054597854614,29%-31%,0.019931402057409286,2%-2%,0.20699894428253174,19%-23%,0.05055306479334831,4%-6%,0.014200129546225071,1%-2%
2400,Alabama,Monroe County School District,3654,0.2963932454586029,0.5178635716438293,38%-65%,0.2595764696598053,22%-30%,0.006258436478674412,0%-1%,0.5290650129318237,42%-64%,0.05883962661027908,3%-9%,0,0%-1%
2430,Alabama,Montgomery County School District,36037,0.3211636543273926,0.5440876483917236,51%-58%,0.3012615740299225,29%-31%,0.01905854232609272,2%-2%,0.16994820535182953,15%-19%,0.08091683685779572,7%-9%,0.031661901623010635,2%-4%
2480,Alabama,Morgan County School District,8814,0.15232183039188385,0.25224733352661133,20%-31%,0.28981155157089233,26%-32%,0.017527524381875992,1%-3%,0.14055420458316803,10%-18%,0.0720444768667221,5%-9%,0.011345586739480495,0%-3%
2490,Alabama,Mountain Brook City School District,4384,0.0645575001835823,0.10127213597297668,6%-15%,0.18005238473415375,15%-21%,0.00944669358432293,0%-2%,0.021248117089271545,0%-5%,0.01505474466830492,0%-3%,0,0%-1%
2520,Alabama,Muscle Shoals City School District,2153,0.12551534175872803,0.2369542121887207,13%-34%,0.2850459814071655,24%-33%,0.001086759613826871,0%-1%,0.06069553643465042,2%-10%,0.05945192649960518,2%-10%,0,0%-2%
2550,Alabama,Oneonta City School District,1086,0.16090819239616394,0.26043736934661865,13%-39%,0.2244814932346344,15%-30%,0.022279348224401474,0%-5%,0.2167789340019226,12%-32%,0.03591160103678703,0%-8%,0,0%-3%
2580,Alabama,Opelika City School District,4712,0.26821255683898926,0.4811481535434723,40%-56%,0.2943372428417206,26%-33%,0.04944045469164848,3%-7%,0.16671760380268097,11%-23%,0.026952462270855904,1%-4%,0.019949065521359444,0%-4%
2610,Alabama,Opp City School District,1099,0.38661709427833557,0.5377358198165894,41%-67%,0.2644210457801819,21%-32%,0.022344322875142097,0%-4%,0.23626737296581268,13%-34%,0.11101000756025314,5%-17%,0,0%-3%
2635,Alabama,Oxford City School District,4513,0.20116102695465088,0.3208376467227936,25%-39%,0.3056989908218384,27%-35%,0.019610118120908737,1%-3%,0.09682004153728485,5%-14%,0.08907600492238998,5%-13%,0.01595391146838665,0%-3%
2640,Alabama,Ozark City School District,2648,0.2799263298511505,0.4549977481365204,37%-54%,0.3548983335494995,31%-40%,0.008393102325499058,0%-2%,0.2625763416290283,18%-34%,0.10158610343933105,5%-15%,0,0%-1%
2650,Alabama,Pell City City School District,4402,0.16454416513442993,0.32541507482528687,23%-42%,0.2838347256183624,24%-32%,0.0083931814879179,0%-1%,0.13707828521728516,8%-19%,0.06996819376945496,4%-10%,0,0%-1%
2670,Alabama,Perry County School District,1555,0.4902912676334381,0.7594752311706543,62%-90%,0.2107526808977127,13%-29%,0.0263072419911623,0%-5%,0.4301595091819763,25%-61%,0.05273311957716942,1%-10%,0,0%-2%
2700,Alabama,Phenix City City School District,6831,0.32278481125831604,0.5223584771156311,45%-60%,0.2664400637149811,23%-30%,0.03519568592309952,2%-5%,0.20331215858459473,14%-26%,0.06324110925197601,4%-8%,0.04948031157255173,2%-8%
2730,Alabama,Pickens County School District,2968,0.293542742729187,0.43180015683174133,36%-51%,0.2556053698062897,22%-29%,0.012217795476317406,0%-2%,0.20414792001247406,15%-26%,0.10276280343532562,7%-14%,0.010107817128300667,0%-3%
2760,Alabama,Piedmont City School District,1007,0.2786259651184082,0.4272189438343048,28%-57%,0.28172698616981506,21%-35%,0.016473231837153435,0%-4%,0.15317286550998688,6%-25%,0.05163852870464325,1%-9%,0,0%-3%
2790,Alabama,Pike County School District,2211,0.27023497223854065,0.4171011447906494,35%-48%,0.27051836252212524,23%-31%,0.01568206213414669,1%-3%,0.3222687840461731,24%-40%,0.056535504758358,4%-8%,0.006784260738641024,0%-3%
2820,Alabama,Randolph County School District,2746,0.2658982574939728,0.31345126032829285,23%-39%,0.1837041974067688,15%-21%,0.024638371542096138,1%-4%,0.20150862634181976,13%-28%,0.05498907342553139,3%-8%,0.014202476479113102,0%-4%
2850,Alabama,Roanoke City School District,878,0.3208812177181244,0.5006935000419617,34%-66%,0.2538664638996124,18%-32%,0.0416666679084301,1%-8%,0.02675585262477398,0%-6%,0.017084281891584396,0%-4%,0,0%-4%
2880,Alabama,Russell County School District,4300,0.2686431109905243,0.3501957356929779,26%-44%,0.27737653255462646,23%-32%,0.021902190521359444,1%-4%,0.1803278625011444,13%-24%,0.067674420773983,3%-10%,0,0%-1%
2910,Alabama,Russellville City School District,2004,0.3337072432041168,0.4899328947067261,32%-66%,0.13437354564666748,10%-17%,0.07858733832836151,4%-12%,0.37038445472717285,21%-53%,0.013972056098282337,0%-3%,0.2385229468345642,13%-34%
2940,Alabama,Scottsboro City School District,2186,0.21835294365882874,0.1876237690448761,10%-27%,0.27823781967163086,23%-33%,0.023944130167365074,1%-4%,0.05944293364882469,2%-10%,0.07227813452482224,3%-11%,0,0%-2%
2970,Alabama,Selma City School District,3430,0.5232700705528259,0.7615078091621399,69%-83%,0.28216180205345154,24%-32%,0.036428939551115036,2%-5%,0.23060926795005798,16%-30%,0.05830903723835945,3%-9%,0.0017492711776867509,0%-1%
3000,Alabama,Sheffield City School District,1321,0.28089025616645813,0.5859586000442505,46%-71%,0.31357818841934204,26%-37%,0,0%-1%,0.2756878137588501,15%-40%,0.09689629077911377,4%-15%,0,0%-3%
